title,slug,hostSlug,type,status,shortDescription,city,country,lat,lng,workHoursPerWeek,workDaysPerWeek,accommodationProvided,mealsProvided,minimumStay,maximumStay,hasTimeSlots,timeSlotStartDate,timeSlotEndDate,timeSlotDefaultCapacity,timeSlotMinimumStay
有機蔬果種植體驗,organic-vegetable-farming,organic-farm,FARMING,ACTIVE,在有機農場體驗有機蔬果的種植過程，學習永續農業技術和理念。,宜蘭縣,台灣,24.7021,121.7377,25,5,true,true,14,60,true,2024-07-01,2024-12-31,2,14
生態導覽志工,eco-tour-volunteer,eco-lodge,TOURISM,ACTIVE,擔任生態旅館的生態導覽志工，向訪客介紹永續生活方式和自然環境。,南投縣,台灣,23.9609,120.9720,20,4,true,true,30,90,true,2024-07-15,2024-12-15,3,30
民宿接待與管理,homestay-reception,eco-lodge,HOSPITALITY,ACTIVE,協助生態旅館的日常運營，包括接待客人、房務整理和活動安排。,南投縣,台灣,23.9609,120.9720,30,5,true,true,60,180,true,2024-07-01,2024-12-31,2,60
藝術工作坊助理,art-workshop-assistant,cultural-studio,CREATIVE,PENDING,協助文化工作室舉辦各類藝術工作坊，支援藝術家和參與者，整理工作坊材料。,台南市,台灣,22.9997,120.2270,15,3,true,false,7,28,true,2024-07-01,2024-09-30,2,7
友善農耕體驗,eco-friendly-farming,organic-farm,FARMING,ACTIVE,在有機農場學習友善環境的耕作方式，參與日常農務和農產品加工。,宜蘭縣,台灣,24.7021,121.7377,25,5,true,true,21,90,true,2024-08-01,2024-11-30,2,21
社區廚房助手,community-kitchen-assistant,eco-lodge,COOKING,ACTIVE,在生態旅館的社區廚房協助準備使用當地食材的餐點，學習永續飲食理念。,南投縣,台灣,23.9609,120.9720,20,4,true,true,14,60,true,2024-08-15,2024-12-15,2,14
海岸環境保育,coastal-conservation,eco-lodge,CONSERVATION,ACTIVE,參與海岸的環境保育工作，包括海灘清理、生態調查和環境教育活動。,南投縣,台灣,23.9609,120.9720,15,3,true,true,7,30,true,2024-07-01,2024-09-30,4,7
有機市集行銷,organic-market-marketing,organic-farm,ADMINISTRATION,ACTIVE,協助有機農場的市集行銷工作，包括社群媒體經營、產品包裝和市集銷售。,宜蘭縣,台灣,24.7021,121.7377,20,4,true,true,30,90,true,2024-09-01,2024-12-31,1,30
藝術節籌備助理,art-festival-assistant,cultural-studio,EVENT,PENDING,協助文化工作室籌備年度藝術節，參與活動規劃、場地布置和藝術家協調工作。,台南市,台灣,22.9997,120.2270,25,5,true,false,60,120,true,2024-07-01,2024-12-31,2,60
友善農產加工,eco-product-processing,organic-farm,FARMING,ACTIVE,參與有機農場的農產品加工過程，學習製作手工果醬、醃漬品和烘焙食品。,宜蘭縣,台灣,24.7021,121.7377,20,4,true,true,14,60,true,2024-10-01,2024-12-31,3,14
蘭嶼潛水助理教練,lanyu-dive-assistant,lanyu-blue-ocean-dive,TOURISM,ACTIVE,協助蘭嶼藍海潛店的潛水教練進行潛水課程和導潛活動，學習專業潛水技能和海洋生態知識。,蘭嶼,台灣,22.0444,121.5503,25,5,true,true,30,120,true,2024-07-01,2024-10-31,2,30
蘭嶼海洋保育志工,lanyu-marine-conservation,lanyu-blue-ocean-dive,CONSERVATION,ACTIVE,參與蘭嶼海洋保育計畫，進行珊瑚礁調查、海洋垃圾清理和環境教育活動。,蘭嶼,台灣,22.0444,121.5503,20,4,true,true,14,60,true,2024-07-15,2024-11-15,3,14
蘭嶼民宿接待員,lanyu-homestay-reception,lanyu-canoe-homestay,HOSPITALITY,ACTIVE,協助蘭嶼拼板舟民宿的日常運營，包括客人接待、房務整理和文化體驗活動安排。,蘭嶼,台灣,22.0541,121.5294,30,5,true,true,60,180,true,2024-07-01,2024-12-31,2,60
蘭嶼達悟文化導覽,lanyu-tao-culture-guide,lanyu-canoe-homestay,TOURISM,ACTIVE,擔任蘭嶼達悟族文化導覽員，向遊客介紹傳統文化、拼板舟製作和海洋知識。,蘭嶼,台灣,22.0541,121.5294,20,4,true,true,30,90,true,2024-08-01,2024-11-30,2,30
綠島潛水助理,green-island-dive-assistant,green-island-turtle-dive,TOURISM,ACTIVE,協助綠島海龜潛水中心的日常運營，包括潛水裝備維護、客人接待和導潛協助。,綠島,台灣,22.6611,121.4925,25,5,true,true,30,120,true,2024-07-01,2024-10-31,2,30
綠島海龜保育計畫,green-island-turtle-conservation,green-island-turtle-dive,CONSERVATION,ACTIVE,參與綠島海龜保育計畫，進行海龜調查、棲地保護和環境教育活動。,綠島,台灣,22.6611,121.4925,20,4,true,true,14,60,true,2024-07-15,2024-11-15,3,14
綠島民宿管理員,green-island-bnb-management,green-island-starry-bnb,HOSPITALITY,ACTIVE,協助綠島星空民宿的日常管理工作，包括客人接待、房務整理和活動安排。,綠島,台灣,22.6542,121.4836,30,5,true,true,60,180,true,2024-07-01,2024-12-31,2,60
綠島夜間觀星導覽,green-island-stargazing-guide,green-island-starry-bnb,TOURISM,ACTIVE,擔任綠島夜間觀星導覽員，向遊客介紹星空知識和綠島自然生態。,綠島,台灣,22.6542,121.4836,20,4,true,true,30,90,true,2024-08-01,2024-11-30,2,30
恆春潛水中心助理,hengchun-dive-center-assistant,hengchun-coral-dive,TOURISM,ACTIVE,協助恆春珊瑚潛水中心的日常運營，包括潛水裝備維護、客人接待和導潛協助。,恆春,台灣,21.9458,120.7892,25,5,true,true,30,120,true,2024-07-01,2024-10-31,2,30
恆春珊瑚礁調查員,hengchun-coral-reef-surveyor,hengchun-coral-dive,CONSERVATION,ACTIVE,參與墾丁國家公園珊瑚礁調查計畫，進行珊瑚礁健康監測和保育工作。,恆春,台灣,21.9458,120.7892,20,4,true,true,14,60,true,2024-07-15,2024-11-15,3,14
恆春民宿接待員,hengchun-bnb-receptionist,hengchun-sunshine-bnb,HOSPITALITY,ACTIVE,協助恆春陽光民宿的客人接待、房務整理和在地文化體驗活動安排。,恆春,台灣,22.0021,120.7444,30,5,true,true,60,180,true,2024-07-01,2024-12-31,2,60
恆春生態導覽員,hengchun-eco-guide,hengchun-sunshine-bnb,TOURISM,ACTIVE,擔任墾丁地區生態導覽員，帶領遊客探索恆春半島的自然生態和人文歷史。,恆春,台灣,22.0021,120.7444,20,4,true,true,30,90,true,2024-08-01,2024-11-30,2,30
小琉球潛水助理,liuqiu-dive-assistant,liuqiu-turtle-dive,TOURISM,ACTIVE,協助小琉球海龜潛店的潛水和浮潛活動，學習海龜生態知識和海洋保育理念。,小琉球,台灣,22.3392,120.3631,25,5,true,true,30,120,true,2024-07-01,2024-10-31,2,30
小琉球海龜調查員,liuqiu-turtle-surveyor,liuqiu-turtle-dive,CONSERVATION,ACTIVE,參與小琉球海龜調查計畫，進行海龜棲地監測、海灘巡護和環境教育活動。,小琉球,台灣,22.3392,120.3631,20,4,true,true,14,60,true,2024-07-15,2024-11-15,3,14
小琉球民宿管理員,liuqiu-bnb-manager,liuqiu-seaview-bnb,HOSPITALITY,ACTIVE,協助小琉球海景民宿的日常管理工作，包括客人接待、房務整理和活動安排。,小琉球,台灣,22.3425,120.3699,30,5,true,true,60,180,true,2024-07-01,2024-12-31,2,60
小琉球海洋教育員,liuqiu-marine-educator,liuqiu-seaview-bnb,TOURISM,ACTIVE,擔任小琉球海洋教育員，向遊客介紹海龜生態、珊瑚礁保育和海洋環境保護知識。,小琉球,台灣,22.3425,120.3699,20,4,true,true,30,90,true,2024-08-01,2024-11-30,2,30
